password,combined_strength,password_probability,zxcvbn_strength
hcb1988033,1.9999999999901077,4.946194495647482e-12,2
r0cice4k,1.9999999999998441,7.788493699804888e-14,2
ff96cjf,1.999999999998631,6.844825812916955e-13,2
jasper24,0.9999999937722248,6.227775184441953e-09,1
sukim123,1.9999999908456507,4.577174639308623e-09,2
ingate123,2.99999999752339,8.255367500709099e-10,3
amlosio,1.9999999998970037,5.149818071981116e-11,2
navierd,1.999999998550912,7.245440358794042e-10,2
puss,0.999999441105274,5.588947260548593e-07,1
dreersruartisuk,4.0,5.503120937854663e-22,4
gtttjm79,1.9999999999995375,2.312556884268707e-13,2
m1os,0.9999999979825034,2.0174966142150197e-09,1
wj5320102,1.999999999960304,1.9847991306054524e-11,2
32543121,1.999999996143333,1.9283334928843487e-09,2
baboyo22,1.999999998314779,8.426105368997128e-10,2
09111901,0.9999999686248593,3.1375140707723403e-08,1
Bargae4,1.9999999999929428,3.528598637239644e-12,2
10170917,0.9999999902916796,9.70832036983893e-09,1
clank328,1.9999999998003961,9.980189591418664e-11,2
brica2626,1.9999999999929448,3.527648225615243e-12,2
oxznianzhi,2.9999999999999964,1.160471454276005e-15,3
whocker,0.9999999412245337,5.877546627175434e-08,1
bykuko,0.999999999729354,2.706459778512027e-10,1
65013,0.9999997911297385,2.088702615310467e-07,1
myiane2,1.9999999999238889,3.805552747926377e-11,2
alextcray0,2.9999999999979714,6.761372603296401e-13,3
pander,0.9999995194655753,4.805344246960885e-07,1
sharpun255,1.9999999999973106,1.3447350871720332e-12,2
sandsuraix,2.9999999999991895,2.7007183382027344e-13,3
02120101,0.9999999643790858,3.562091421827063e-08,1
q3981148,1.9999999999892846,5.357683480894382e-12,2
celconki,1.9999999999534308,2.3284553105074046e-11,2
prufford,1.99999999235573,3.8221350528999665e-09,2
lt2042111631221,4.0,7.183637105019698e-21,4
Angemuilusahi,4.0,8.729402440394612e-20,4
11passwol,2.9999999998298574,5.6714240942445926e-11,3
200310,0.9999972428965975,2.757103402473149e-06,1
mistes22,1.9999999943402078,2.82989609523554e-09,2
juhn90969378916,4.0,7.585090312952843e-21,4
7d001fbd,1.9999999999998388,8.057699743980323e-14,2
ilovetalether,3.9999999998539018,3.652461319503253e-11,4
footte12,1.9999999942938067,2.853096647825737e-09,2
13210293512,2.9999999999743685,8.543827104134927e-12,3
plettechairea,3.999999999999991,2.1672231575260627e-15,4
51829626,1.9999999992210138,3.894930489245496e-10,2
ellpejka,1.9999999999992837,3.5820603211042523e-13,2
hy73491792,2.999999999999918,2.7368176626872687e-14,3
23711520,1.9999999960675927,1.9662036443435227e-09,2
tuang1117,2.9999999989915023,3.361659006717588e-10,3
Akladowt,1.9999999999997757,1.1217227504928956e-13,2
536954,0.9999999796989538,2.03010461774511e-08,1
MW1MZRZ,1.9999999999999898,5.153316687359641e-15,2
32438333,0.9999999988156894,1.1843106495490474e-09,1
105923,0.9999998782349593,1.2176504071703675e-07,1
71023209,1.9999999993801425,3.099287770869097e-10,2
liankpang,2.9999999983744403,5.418531734413534e-10,3
4328291,1.9999999932020351,3.398982428848285e-09,2
Socoky88188,3.999999999999998,5.155720672743067e-16,4
pcaezerball,2.9999999999999956,1.5376833895338411e-15,3
hustef,0.9999999891248992,1.0875100819873751e-08,1
48b095ni,1.9999999999999574,2.1332944904941392e-14,2
drastrocurensssw,4.0,9.999308009413528e-23,4
2155755,1.999999990457055,4.771472550402223e-09,2
08jpb5098,2.999999999999999,3.6645474917660454e-16,3
1618198,0.9999999934320067,6.567993260375715e-09,1
mw21314712,2.999999999998299,5.668766779771961e-13,3
67334764,1.9999999997165099,1.4174507401154557e-10,2
lindards,0.999999991124862,8.875137957886636e-09,1
mml04261550,2.9999999999999973,9.13781684596781e-16,3
3920774744,2.9999999999989684,3.437941392073901e-13,3
jx92688,1.9999999998973705,5.131469207886319e-11,2
g2894470,1.9999999999975997,1.20011737093223e-12,2
ANUMUN772,2.9999999999999942,1.9138618387169086e-15,3
hjs123456,0.999999561698786,4.3830121398968913e-07,1
weewuy1582,2.9999999999999805,6.591330451143898e-15,3
shipi1234,1.9999999794400019,1.0279999074214174e-08,2
0633392425,2.999999999988337,3.887707863969858e-12,3
a00681448,1.9999999999979239,1.0380700205675497e-12,2
fadger,0.9999999889126565,1.1087343487758972e-08,1
javie1234,0.9999999657015515,3.429844852576025e-08,1
woshiyiqw1,2.9999999999924736,2.5087701013837282e-12,3
momuki891,2.9999999999979767,6.744286119159115e-13,3
xiaohao2111,3.999999998455724,3.8606901009430317e-10,4
ctcdfgjfp,2.999999999999978,7.420328796401733e-15,3
szuilt1080,2.999999999999986,4.630410214734619e-15,3
trogerriblam,2.9999999999999956,1.5369574822980442e-15,3
5g4a7z,0.9999999999975366,2.4633665333256838e-12,1
PnC0lRv,1.9999999999999987,6.521070550476811e-16,2
dushukui,1.9999999998912037,5.4398201221328435e-11,2
clatect23,2.999999999959493,1.3502421403188691e-11,3
kissaaiasaedokai,4.0,5.047662085158146e-21,4
blueas,0.999999931986487,6.801351304375203e-08,1
ehiluis,0.9999999999781098,2.1890170232019557e-11,1
0741738245,2.9999999999913953,2.868191795180053e-12,3
descogetog,2.999999999999789,7.024961938117275e-14,3
agalan14,1.9999999996275832,1.8620842368033408e-10,2
kraw01,0.9999999960397363,3.96026367255331e-09,1
brance04,1.9999998928764455,5.356177723569999e-08,2
cmj13068,1.9999999999892026,5.398723135208172e-12,2
coluca003,2.9999999999791345,6.955236733774406e-12,3
emens,0.999999968432121,3.156787897751201e-08,1
0176867062,2.9999999998025952,6.580164191305471e-11,3
b6biggold,1.9999999999844331,7.783491733082126e-12,2
ccco95,0.9999999988634837,1.1365163254950517e-09,1
useptlak,1.9999999999976825,1.1587309887636787e-12,2
JlflqrvPr123,4.0,7.158134456266027e-22,4
thomberrich,3.999999999926296,1.8426050615860667e-11,4
15982352581,2.9999999999649942,1.166851511247291e-11,3
febas1,0.9999999961358932,3.8641068123013156e-09,1
198213982416,2.9999999999995834,1.389362800155447e-13,3
xiu51989,1.9999999993210085,3.394958203450926e-10,2
7m1xC9bB,1.9999999999999998,6.101065822509418e-17,2
1807791314,2.9999999998517852,4.9404973168076793e-11,3
b9shbc,0.999999999953634,4.636599090779292e-11,1
200225bebas,2.9999999999999494,1.68536652732712e-14,3
wnizkew,1.9999999999943892,2.8054672300548145e-12,2
62el74,0.9999999999874779,1.2522149116234171e-11,1
a8888521a,2.999999999974394,8.535398950126893e-12,3
Prake910850,3.9999999999999987,3.361796211198085e-16,4
4194824,0.9999999973523421,2.647657870724629e-09,1
jjjbok,0.9999999996743718,3.256281910779535e-10,1
killel2002,2.9999999997011644,9.961185348794643e-11,3
jampielesu,2.999999999998696,4.346938932940636e-13,3
mylaul2013,2.9999999999965237,1.1588616351254633e-12,3
940301120204,2.999999999998834,3.887851412337495e-13,3
cw190406,1.9999999996537394,1.731303017615815e-10,2
6xhptyrd,1.999999999999982,9.025468089909894e-15,2
rurds97,1.9999999999758422,1.207887002224739e-11,2
SNVIUDSE,1.9999999999999687,1.5608892759040593e-14,2
1103764813,2.999999999987293,4.2357714558072246e-12,3
hradoliranda,3.999999999999998,5.002456943080098e-16,4
160747,0.9999999146701768,8.532982320730298e-08,1
orsnumballiag,4.0,2.516370070555475e-18,4
eslo23580817,4.0,1.120771248340045e-17,4
pimple,0.9999997148651119,2.851348881449667e-07,1
videsvic,1.9999999998558047,7.209760566340151e-11,2
1515480,0.9999999991085187,8.914813887095363e-10,1
523039,0.9999999680956009,3.190439912259535e-08,1
15415401,0.9999999998615986,1.3840137369491856e-10,1
silvis005,2.9999999994555364,1.8148786640193038e-10,3
bjsf070618,2.999999999999948,1.7355539070782952e-14,3
fmfareazma,2.9999999999999987,4.73842830309146e-16,3
20066922,0.9999999975205174,2.47948261922204e-09,1
mlm1234567,0.999999994575167,5.424833027234399e-09,1
0001ai5gm,2.999999999999997,1.0328577880800273e-15,3
Saku0828,1.9999999999755225,1.2238731729452557e-11,2
jd9758jbm,2.9999999999999987,4.0050145024972796e-16,3
onax,0.9999999874365733,1.2563426743383843e-08,1
iamorenshollu,4.0,2.6889666406796153e-17,4
tinggaoliuzui,3.999999999999593,1.0168925976879878e-13,4
zzl123456,0.9999988036887544,1.196311245621473e-06,1
lippen32712,2.9999999999990825,3.058469005400716e-13,3
13661440840,2.9999999999900453,3.31823804544662e-12,3
triyad,0.9999999977060583,2.293941703257474e-09,1
tp5lsk67,1.9999999999999896,5.1893058467390556e-15,2
msatleme,1.9999999999676823,1.61588017272285e-11,2
xujieping,2.9999999815594802,6.146839925946779e-09,3
yprs2446,1.9999999999994917,2.541323813713692e-13,2
270104,0.9999997158755036,2.841244963747158e-07,1
o3drgGwNG,3.0,3.4367480370502984e-20,3
pinzcpiomoi,4.0,1.4210243276528094e-18,4
compertle,2.999999953773047,1.540898431073856e-08,3
gyugb,0.9999999998891127,1.1088729934272124e-10,1
khenna,0.9999999854949309,1.4505069145798188e-08,1
xiaolove8496,3.9999999999851212,3.7196955585128144e-12,4
kachoughtut,2.99999999999995,1.673135032755589e-14,3
pyluck,0.99999999613512,3.8648799716156645e-09,1
hamilura550,3.999999999999948,1.299763079012483e-14,4
jmacas1584,2.999999999999978,7.307706448701854e-15,3
qw890111801,2.999999999999971,9.63470246645318e-15,3
july1005,0.9999999953388556,4.661144359374703e-09,1
mg57465,1.9999999999461395,2.6930270513592092e-11,2
JLCP,0.9999999997216813,2.783186459076603e-10,1
heng06021981,2.9999999999953575,1.5475450781954336e-12,3
sonlehose,2.9999999999902256,3.258186906038296e-12,3
dankpaslink3,3.9999999999999996,1.4506713741617715e-16,4
dcstevena,2.999999999981979,6.00697356439861e-12,3
lazi55,0.9999999971715163,2.828483669503612e-09,1
68p8mzzyqk,3.0,3.376879224629639e-20,3
96703956,1.9999999997525437,1.237281527233236e-10,2
e7adc737,1.9999999999989495,5.252183779037856e-13,2
lailyflys,2.9999999999879137,4.028770806546733e-12,3
kr1611ny,1.9999999999997744,1.1281538989669007e-13,2
hajaus,0.9999999926544785,7.345521524371179e-09,1
674368771,2.9999999999718825,9.372532264184663e-12,3
050224,0.9999996407614162,3.592385837691836e-07,1
All81222,0.9999999999909576,9.042389233215875e-12,1
nopla1973,1.9999999998551232,7.243843719306753e-11,2
canurt1313177,4.0,5.08581814966937e-19,4
kasasi007,2.9999999998543943,4.8535238328373254e-11,3
941424,0.9999999446035837,5.5396416343000965e-08,1
b40adhf,1.9999999999994045,2.9780109042816527e-13,2
xqknf56vrg,3.0,2.369328842205612e-19,3
19810201,0.9999991366848349,8.633151651338267e-07,1
85632010,1.9999999948234324,2.5882838095014904e-09,2
2009796476,2.9999999999918376,2.7208521893862248e-12,3
KNSY5GKCI6556766,4.0,2.281280774717197e-27,4
02740724345,2.999999999999348,2.1729952635451272e-13,3
wangdmingdow,3.99999999999066,2.33497769730473e-12,4
gyzh3,0.9999999999903695,9.630512533276292e-12,1
ondanline,1.9999999999140397,4.298021313853262e-11,2
smandirrus,2.9999999999985376,4.874764329178272e-13,3
820220lx,1.9999999996402502,1.7987487888060372e-10,2
thelbii,1.9999999999349105,3.2544748146401403e-11,2
jaby6895217,3.999999999999988,3.0202289576079268e-15,4
397250,0.9999999867480529,1.3251947095227479e-08,1
1loopass,1.999999998358744,8.206280655009834e-10,2
gaoyun08,1.9999999962380697,1.8809651614049017e-09,2
madgoop,1.9999999989730948,5.134526692707198e-10,2
astilowick,2.999999999999673,1.0896533377208542e-13,3
chanalexara,2.999999999996069,1.3104098969124456e-12,3
llplasex4,2.9999999999999507,1.6469944101571952e-14,3
w8a8h9h,1.999999999999785,1.0747379684339711e-13,2
cpurauros91,4.0,3.556250623690439e-17,4
suckyer7,1.9999999990398236,4.800882469346845e-10,2
2200710,0.9999999806913351,1.9308664889194915e-08,1
ferragoo20010,3.9999999999998437,3.9062730236875606e-14,4
paspernamane0,3.999999999999999,2.0725112156167575e-16,4
sridiek1,1.999999999971853,1.4073521861779348e-11,2
38alamy,1.9999999999750253,1.2487332348709579e-11,2
xq860303,1.999999999766133,1.1693342127916395e-10,2
758968,0.9999999574410019,4.255899810345909e-08,1
shadona4,1.9999999987714385,6.142807373876735e-10,2
oragyaalb434,4.0,1.1581194197641551e-19,4
3943945,0.9999999983786075,1.6213924647345834e-09,1
password,0.0,0.0001152829936472699,0
topeniko,1.9999999990241366,4.879317505590564e-10,2
cluyu2006,1.9999999999908922,4.553917139216157e-12,2
lucyakis,1.99999999967468,1.626600382165222e-10,2
unzm18pe,1.9999999999999973,1.2983335838590493e-15,2
jp3256678,2.999999999996118,1.2940127485164266e-12,3
qolpbjk8,1.9999999999999838,8.109637432613705e-15,2
Mdne518965212,4.0,6.850231821320935e-22,4
manufaja,1.9999999993218571,3.3907143759392966e-10,2
456532,0.9999999591704238,4.082957616446947e-08,1
0177337224,2.9999999992871866,2.3760451939303096e-10,3
kumabi,0.9999999978812566,2.118743402945711e-09,1
2809720,0.9999999958518959,4.14810408244648e-09,1
198702205,0.9999999968399378,3.1600622119043464e-09,1
64610488,1.9999999993042847,3.478576593440863e-10,2
66jobaba,1.9999999999778408,1.1079629401444802e-11,2
xiaoli,0.9999979936058025,2.0063941974513e-06,1
64125805,1.9999999988916892,5.541554437549223e-10,2
ff031611,0.9999999999666064,3.3393569159878567e-11,1
tizkar38,1.9999999999951423,2.4288351278128895e-12,2
studkitz,1.9999999998767513,6.162434451617571e-11,2
follancefare,2.9999999999999662,1.1247963958892562e-14,3
shaobeift,2.9999999999922315,2.589530369648263e-12,3
zolnix,0.9999999994568602,5.431398109045915e-10,1
torregira,2.999999999915023,2.8325704629073023e-11,3
mkuco49,1.9999999999988072,5.964539842931438e-13,2
tofto123,1.9999999897650627,5.117468671045344e-09,2
yangjia00,2.9999999808525484,6.3824838747450485e-09,3
805208,0.9999999476467494,5.2353250623582426e-08,1
egambenyagn,4.0,8.182038003914185e-18,4
grazol4,1.9999999994804125,2.597937420745211e-10,2
weiqin198703286,3.9999999999998828,2.927532890585616e-14,4
ujj7ysf201,3.0,5.399648095927728e-18,3
lefo34225,2.9999999999994262,1.9126327854401132e-13,3
881018,0.9999992489021565,7.510978434766002e-07,1
Batressea1,2.99999999999926,2.4669749207860414e-13,3
ranynfunxiong,3.9999999999999987,3.732881874785786e-16,4
840609300,1.9999999993461768,3.2691158113884455e-10,2
Liaosams,1.9999999999938562,3.071910347623996e-12,2
dtik92,0.9999999999558554,4.414453524947959e-11,1
wl1627,0.999999999347323,6.526770790493686e-10,1
rezarspurmy,3.9999999999999973,7.101978980593611e-16,4
yire16,0.9999999997446042,2.553958433626491e-10,1
234325954,1.9999999999432643,2.8367915655413967e-11,2
42sabc4282,2.9999999999998375,5.4188407640166567e-14,3
iloveyandou,2.999999858695528,4.710149070774605e-08,3
24040872,1.9999999971230282,1.438485885962848e-09,2
a82310,0.9999999916107623,8.38923774892919e-09,1
celmes,0.9999999930161412,6.983858824582967e-09,1
ushley39,1.999999999890333,5.483341905532235e-11,2
286666763,2.9999999998952083,3.493052375125316e-11,3
lutasii,1.9999999995894329,2.0528356792226532e-10,2
13979115421,2.999999999961326,1.2891302608730726e-11,3
nip1986,0.9999999977454768,2.2545232347681576e-09,1
bobazz,0.999999993800996,6.199003976803397e-09,1
linkura123456,2.999999999886738,3.775391457794264e-11,3
ngtog82,1.9999999999952482,2.375928230199942e-12,2
5525139411,2.99999999998515,4.949881650395671e-12,3
Chriswsy,0.9999999999988517,1.1483515961058233e-12,1
uequhn1eher,4.0,6.739574240458555e-20,4
32031989,0.999999899723278,1.0027672203705151e-07,1
landracka,1.9999999914831834,4.258408292656668e-09,2
15760403,0.9999999995077512,4.9224879727916e-10,1
graszd,0.9999999993765023,6.234976979158091e-10,1
biocok67,1.9999999999988292,5.853653607841569e-13,2
9tayhhtlork,4.0,4.597483803242565e-19,4
197515abc,1.9999999933295043,3.3352478556736287e-09,2
qiangsheng,1.999999660020535,1.6998973251247662e-07,2
tragah09,1.999999999840551,7.972443538672991e-11,2
gujah,0.9999999963963715,3.6036285067098106e-09,1
13639645760,3.9999999999807336,4.8165599113303426e-12,4
4ugena,0.999999999945756,5.424402940712447e-11,1
widsachm,1.9999999999970435,1.478282882390325e-12,2
302274,0.9999999594899194,4.051008062333494e-08,1
5l5jw3td,1.9999999999999893,5.3031004880379345e-15,2
1811861009,1.9999999999831615,8.419239264090272e-12,2
sg2288929894,3.9999999999999996,7.204207784044427e-17,4
85mvsd,0.9999999999935147,6.485302746217503e-12,1
syzeem7462,2.999999999999999,3.1696981384858743e-16,3
MAL,0.0,7.272313951034448e-08,0
elicis,0.9999999611040487,3.889595134864976e-08,1
8681789ska,2.9999999999999485,1.7089323391724504e-14,3
tangjin,1.9999996388137902,1.8059310491480574e-07,2
sabio12,1.9999999937558322,3.122083924722574e-09,2
tarryie,1.9999999992786976,3.6065120334605183e-10,2
lawre11,1.9999999993670177,3.1649119436316653e-10,2
songo1990,1.9999999895932747,5.203362629657704e-09,2
mansher12,2.999999999148365,2.8387839301480255e-10,3
orophade88028,4.0,4.707129178375883e-18,4
plute,0.9999999535231225,4.64768774577351e-08,1
itori0280,2.9999999999997056,9.819730884550251e-14,3
mike44,0.9999998345257524,1.654742476375759e-07,1
lurriimano,2.999999999999952,1.599353380852056e-14,3
3143,0.9999995368707744,4.63129225636294e-07,1
d0s3c0id,1.9999999999992744,3.6281817394206994e-13,2
19444723,1.9999999992947486,3.5262567865679273e-10,2
killip,0.9999996881921049,3.118078950592462e-07,1
elifeduc,1.9999999999713032,1.4348461654933864e-11,2
pinkingxiao,2.9999999910450885,2.9849704930029475e-09,3
mssdacori1,2.999999999999999,1.6710232896208335e-16,3
lunin2789,2.9999999999928946,2.368431622698508e-12,3
664524369,2.9999999998268807,5.7706457667894284e-11,3
zolgold1,1.9999999996771811,1.6140941361264538e-10,2
cezz650123,2.9999999999999347,2.1766832449974724e-14,3
84117,0.9999996335941717,3.6640582834479574e-07,1
91janckye,2.999999999999762,7.931111008826347e-14,3
082745,0.9999999631251484,3.687485161663062e-08,1
juneyr,0.9999999975222549,2.4777451201885015e-09,1
flankens,1.9999999906965416,4.6517292240366714e-09,2
pmwz1001669,2.999999999999999,1.904955657853444e-16,3
cacalipora8324,4.0,5.188011144471468e-19,4
abounder,0.9999999988504984,1.14950160501337e-09,1
bh1n4wk0k,2.999999999999999,1.9763418741123624e-16,3
zigembit,1.9999999999678886,1.6055670681858203e-11,2
raijai32181,3.9999999999998823,2.945320921291135e-14,4
rejaldudo,2.9999999999983267,5.577770775637425e-13,3
wang52112,1.999999864457351,6.77713245522682e-08,2
M9tock6333,3.0,4.2153961122482194e-17,3
aidouclkion,3.999999999999999,1.972654766162744e-16,4
loves12345,0.999999890134518,1.0986548204527935e-07,1
030977,0.9999997011611299,2.9883887009418686e-07,1
x4w0br,0.9999999999944722,5.527780490288681e-12,1
